ID	Gene.symbol	Gene.title	log2(fold change)(Tumour vs Normal)	-log10(Pvalue)(Tumour vs Normal)
100002			0.9	3.436
100039	ANAPC7	anaphase promoting complex subunit 7	1.098	3.468
100079	HSPD1	heat shock protein family D (Hsp60) member 1	1.328	4.383
100249			0.638	2.86
100259	AGBL5	ATP/GTP binding protein like 5	0.768	2.839
100313	NUDT21	nudix hydrolase 21	0.795	2.543
100356	RANBP1	RAN binding protein 1	0.944	3.224
100430	MSH6	mutS homolog 6	0.758	2.785
100455	CENPN	centromere protein N	1.279	3.224
100513	LPAR1	lysophosphatidic acid receptor 1	-1.416	3.859
100537	CPT2	carnitine palmitoyltransferase 2	-0.818	3.922
100627			0.493	2.918
100687	HRASLS2	HRAS like suppressor 2	-2.219	3.276
100691	OGFOD1	2-oxoglutarate and iron dependent oxygenase domain containing 1	1.033	3.763
100794			1.156	2.822
100812	FXYD1	FXYD domain containing ion transport regulator 1	-1.774	4.443
101034	SCIN	scinderin	-1.961	3.164
101140	CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	1.106	2.741
101185	ABHD3	abhydrolase domain containing 3	-1.443	4.213
101210			-1.648	3.916
101370	RNASEH2A	ribonuclease H2 subunit A	1.198	2.748
101377	CIDEB	cell death-inducing DFFA-like effector b	-1.454	4.31
101441	EIF3E	eukaryotic translation initiation factor 3 subunit E	0.812	2.813
101487	CHST5	carbohydrate sulfotransferase 5	-1.362	3.732
101611	GPN3	GPN-loop GTPase 3	0.827	4.333
101648	SLPI	secretory leukocyte peptidase inhibitor	-0.725	2.47
101655	TAF1A	TATA-box binding protein associated factor, RNA polymerase I subunit A	0.924	2.941
101664			-1.456	3.765
101687			0.779	2.861
101742	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	0.86	2.965
101798	S100A9	S100 calcium binding protein A9	1.923	4.093
101867	SNRPE	small nuclear ribonucleoprotein polypeptide E	0.614	2.935
101917	CXCL11	C-X-C motif chemokine ligand 11	2.244	3.157
101931			0.679	3.615
101949			0.605	2.502
101965	SLC25A17	solute carrier family 25 member 17	0.908	3.019
101979	CRYZ	crystallin zeta	0.803	2.993
101985	CCT6A	chaperonin containing TCP1 subunit 6A	0.652	3.783
102117	MS4A6E	membrane spanning 4-domains A6E	-0.879	3.167
102161	RHOF	ras homolog family member F, filopodia associated	-1.53	3.296
102257	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	0.54	2.735
102335	FAS	Fas cell surface death receptor	-0.869	3.559
102484			0.516	2.603
102617			0.563	3.495
102652			-1.062	4.103
102664	NOL10	nucleolar protein 10	0.547	2.627
102706			1.118	6.22
102723	NUP37	nucleoporin 37	0.989	4.14
102788	SRM	spermidine synthase	0.859	3.612
102926	SERPINE1	serpin family E member 1	1.818	3.197
102968			-1.442	4.628
102972	LIN7B	lin-7 homolog B, crumbs cell polarity complex component	-0.739	2.485
102988	FANCL	Fanconi anemia complementation group L	0.79	3.422
102997			1.024	3.603
103003	MYO1A	myosin IA	-1.359	2.569
103069	CTNND1	catenin delta 1	-0.816	3.678
103082			1.509	3.158
103103			0.929	2.434
103264			1.873	4.252
103279			0.912	2.782
103392	TDP2	tyrosyl-DNA phosphodiesterase 2	-1.482	4.756
103481	TSR1	TSR1, ribosome maturation factor	1.119	4.384
103520	PRMT3	protein arginine methyltransferase 3	1.458	3.773
103537			-0.937	2.517
103703	PHKA1	phosphorylase kinase regulatory subunit alpha 1	0.896	3.661
103769	RANBP6	RAN binding protein 6	0.734	2.503
103795			1.996	5.063
104009	GABPB1	GA binding protein transcription factor beta subunit 1	0.874	2.638
104057			1.31	3.691
104115	VPS4B	vacuolar protein sorting 4 homolog B	-0.881	3.668
104140			0.598	2.699
104166	CDC42SE2	CDC42 small effector 2	-0.829	2.614
104251			1.113	3.811
104292			-0.584	2.453
104310			-0.757	2.476
