"ID"	"Gene.symbol"	"Gene.title"	"log2(fold change)(T vs B)"	"-log10(Pvalue)(T vs B)"
"1552274_at"	"PXK"	"PX domain containing serine/threonine kinase like"	-2.814	4.987
"1552275_s_at"	"PXK"	"PX domain containing serine/threonine kinase like"	-3.825	4.308
"1552388_at"	"FLJ30901///SCUBE1"	"uncharacterized protein FLJ30901///signal peptide, CUB domain and EGF like domain containing 1"	3.844	4.293
"1552671_a_at"	"SLC9A7"	"solute carrier family 9 member A7"	-4.508	5.786
"1553369_at"	"FAM129C"	"family with sequence similarity 129 member C"	-4.943	4.833
"1553644_at"	"SYNE3"	"spectrin repeat containing nuclear envelope family member 3"	-1.863	3.575
"1553685_s_at"	"SP1"	"Sp1 transcription factor"	-1.783	3.702
"1553962_s_at"	"RHOB"	"ras homolog family member B"	-3.523	3.9
"1553991_s_at"	"LOC101928274///VSIG10"	"uncharacterized LOC101928274///V-set and immunoglobulin domain containing 10"	-2.373	4.941
"1553998_at"	"DMRTC1B///DMRTC1"	"DMRT like family C1B///DMRT like family C1"	2.744	4.437
"1554026_a_at"	"MYO10"	"myosin X"	-4.566	3.48
"1554030_at"	"ARSB"	"arylsulfatase B"	-3.177	4
"1554062_at"	"XG"	"Xg blood group"	4.457	3.334
"1554298_a_at"	"WDR49"	"WD repeat domain 49"	-5.65	5.072
"1554311_a_at"	"SUPT6H"	"SPT6 homolog, histone chaperone"	-2.809	3.527
"1554343_a_at"	"STAP1"	"signal transducing adaptor family member 1"	-4.6	4.382
"1554508_at"	"PIK3AP1"	"phosphoinositide-3-kinase adaptor protein 1"	-4.2	6.192
"1554544_a_at"	"MBP"	"myelin basic protein"	-2.875	3.914
"1554821_a_at"	"ZBED1"	"zinc finger BED-type containing 1"	-2.371	3.652
"1554938_a_at"	"ACOT11"	"acyl-CoA thioesterase 11"	-2.697	3.336
"1554980_a_at"	"ATF3"	"activating transcription factor 3"	-2.179	3.367
"1555355_a_at"	"ETS1"	"ETS proto-oncogene 1, transcription factor"	2.707	3.698
"1555425_x_at"	"SSH2"	"slingshot protein phosphatase 2"	-2.427	3.37
"1555562_a_at"	"ZCCHC7"	"zinc finger CCHC-type containing 7"	-2.509	4.106
"1555630_a_at"	"NARR///RAB34"	"nine-amino acid residue-repeats///RAB34, member RAS oncogene family"	-4.489	4.615
"1555779_a_at"	"CD79A"	"CD79a molecule"	-2.799	4.053
"1555851_s_at"	"SEPW1"	"selenoprotein W, 1"	2.764	3.722
